Month,Group,Keyword,SearchIndex
2024-06,Kculture,k-beauty,8.0
2024-07,Kculture,k-beauty,8.0
2024-08,Kculture,k-beauty,8.0
2024-09,Kculture,k-beauty,8.0
2024-10,Kculture,k-beauty,9.0
2024-11,Kculture,k-beauty,10.0
2024-12,Kculture,k-beauty,9.0
2025-01,Kculture,k-beauty,9.0
2025-02,Kculture,k-beauty,11.0
2025-03,Kculture,k-beauty,10.0
2025-04,Kculture,k-beauty,10.0
2025-05,Kculture,k-beauty,10.0
2025-06,Kculture,k-beauty,13.0
2025-07,Kculture,k-beauty,17.0
2025-08,Kculture,k-beauty,70.0
2025-09,Kculture,k-beauty,95.0
2025-10,Kculture,k-beauty,100.0
2015-01,Kculture,k-culture,0.0
2015-02,Kculture,k-culture,0.0
2015-03,Kculture,k-culture,0.0
2015-04,Kculture,k-culture,0.0
2015-05,Kculture,k-culture,0.0
2015-06,Kculture,k-culture,0.0
2015-07,Kculture,k-culture,0.0
2015-08,Kculture,k-culture,0.0
2015-09,Kculture,k-culture,0.0
2015-10,Kculture,k-culture,0.0
2015-11,Kculture,k-culture,0.0
2015-12,Kculture,k-culture,0.0
2016-01,Kculture,k-culture,0.0
2016-02,Kculture,k-culture,0.0
2016-03,Kculture,k-culture,0.0
2016-04,Kculture,k-culture,0.0
2016-05,Kculture,k-culture,0.0
2016-06,Kculture,k-culture,0.0
2016-07,Kculture,k-culture,0.0
2016-08,Kculture,k-culture,0.0
2016-09,Kculture,k-culture,0.0
2016-10,Kculture,k-culture,0.0
2016-11,Kculture,k-culture,0.0
2016-12,Kculture,k-culture,0.0
2017-01,Kculture,k-culture,0.0
2017-02,Kculture,k-culture,0.0
2017-03,Kculture,k-culture,0.0
2017-04,Kculture,k-culture,0.0
2017-05,Kculture,k-culture,0.0
2017-06,Kculture,k-culture,11.0
2017-07,Kculture,k-culture,10.0
2017-08,Kculture,k-culture,0.0
2017-09,Kculture,k-culture,0.0
2017-10,Kculture,k-culture,0.0
